Episode_Title,Season_Episode,Season_Number,Episode_Rating,Series_Name
Ordinary Death,"S1, Ep8",S1,9.1,The Night Of
Episode #1.1,"S1, Ep1",S1,7.8,Mindhunter
Episode #1.2,"S1, Ep2",S1,8.5,Mindhunter
Episode #1.3,"S1, Ep3",S1,8.3,Mindhunter
Episode #1.4,"S1, Ep4",S1,8.3,Mindhunter
Episode #1.5,"S1, Ep5",S1,8.7,Mindhunter
Episode #1.6,"S1, Ep6",S1,8.0,Mindhunter
Episode #1.7,"S1, Ep7",S1,8.3,Mindhunter
Episode #1.8,"S1, Ep8",S1,8.2,Mindhunter
Episode #1.9,"S1, Ep9",S1,8.7,Mindhunter
Episode #1.10,"S1, Ep10",S1,9.2,Mindhunter
Episode #2.1,"S2, Ep1",S2,8.2,Mindhunter
Episode #2.2,"S2, Ep2",S2,8.7,Mindhunter
Episode #2.3,"S2, Ep3",S2,8.3,Mindhunter
Episode #2.4,"S2, Ep4",S2,8.6,Mindhunter
Episode #2.5,"S2, Ep5",S2,9.0,Mindhunter
Episode #2.6,"S2, Ep6",S2,8.2,Mindhunter
Episode #2.7,"S2, Ep7",S2,8.3,Mindhunter
Episode #2.8,"S2, Ep8",S2,8.6,Mindhunter
Episode #2.9,"S2, Ep9",S2,8.8,Mindhunter
Currahee,"S1, Ep1",S1,8.7,Band of Brothers
Day of Days,"S1, Ep2",S1,9.2,Band of Brothers
Carentan,"S1, Ep3",S1,9.0,Band of Brothers
Replacements,"S1, Ep4",S1,8.9,Band of Brothers
Crossroads,"S1, Ep5",S1,8.9,Band of Brothers
Bastogne,"S1, Ep6",S1,9.2,Band of Brothers
The Breaking Point,"S1, Ep7",S1,9.4,Band of Brothers
The Last Patrol,"S1, Ep8",S1,8.8,Band of Brothers
Why We Fight,"S1, Ep9",S1,9.5,Band of Brothers
Points,"S1, Ep10",S1,9.2,Band of Brothers
Chapter 1: The Mandalorian,"S1, Ep1",S1,8.7,The Mandalorian
Chapter 2: The Child,"S1, Ep2",S1,8.6,The Mandalorian
Chapter 3: The Sin,"S1, Ep3",S1,9.1,The Mandalorian
Chapter 4: Sanctuary,"S1, Ep4",S1,7.8,The Mandalorian
Chapter 5: The Gunslinger,"S1, Ep5",S1,7.6,The Mandalorian
Chapter 6: The Prisoner,"S1, Ep6",S1,8.3,The Mandalorian
Chapter 7: The Reckoning,"S1, Ep7",S1,9.1,The Mandalorian
Chapter 8: Redemption,"S1, Ep8",S1,9.3,The Mandalorian
Chapter 9: The Marshal,"S2, Ep1",S2,8.9,The Mandalorian
Chapter 10: The Passenger,"S2, Ep2",S2,7.9,The Mandalorian
Chapter 11: The Heiress,"S2, Ep3",S2,8.8,The Mandalorian
Chapter 12: The Siege,"S2, Ep4",S2,8.4,The Mandalorian
Chapter 13: The Jedi,"S2, Ep5",S2,9.5,The Mandalorian
Chapter 14: The Tragedy,"S2, Ep6",S2,9.2,The Mandalorian
Chapter 15: The Believer,"S2, Ep7",S2,9.0,The Mandalorian
Chapter 16: The Rescue,"S2, Ep8",S2,9.8,The Mandalorian
The Big Bang,"S1, Ep1",S1,8.2,Atlanta
Streets on Lock,"S1, Ep2",S1,8.6,Atlanta
Go for Broke,"S1, Ep3",S1,8.2,Atlanta
The Streisand Effect,"S1, Ep4",S1,8.3,Atlanta
Nobody Beats the Biebs,"S1, Ep5",S1,8.1,Atlanta
Value,"S1, Ep6",S1,7.9,Atlanta
B.A.N.,"S1, Ep7",S1,9.3,Atlanta
The Club,"S1, Ep8",S1,8.8,Atlanta
Juneteenth,"S1, Ep9",S1,8.5,Atlanta
The Jacket,"S1, Ep10",S1,8.7,Atlanta
Alligator Man,"S2, Ep1",S2,9.0,Atlanta
Sportin' Waves,"S2, Ep2",S2,8.3,Atlanta
Money Bag Shawty,"S2, Ep3",S2,8.5,Atlanta
Helen,"S2, Ep4",S2,8.0,Atlanta
Barbershop,"S2, Ep5",S2,9.1,Atlanta
Teddy Perkins,"S2, Ep6",S2,9.7,Atlanta
Champagne Papi,"S2, Ep7",S2,7.5,Atlanta
Woods,"S2, Ep8",S2,8.9,Atlanta
North of the Border,"S2, Ep9",S2,9.0,Atlanta
FUBU,"S2, Ep10",S2,8.9,Atlanta
